"","feature","B cell progenitor","CD14+ Monocytes","CD16+ Monocytes","CD4 Memory","CD4 Naive","CD8 effector","CD8 Naive","Dendritic cell","Double negative T cell","NK bright","NK dim","pDC","Platelet","pre-B cell"
"57","HEY2",1.3193263187628,1.37364482259919,1.35824421186935,1.4032894032513,1.39766960349235,1.43185102254068,1.39595962520493,1.32253476911253,1.41910387451602,1.42495167735892,1.39456150240664,1.40169844119575,1.25712043058982,1.37795819873728
"58","HINFP",1.40357239854117,1.43958165834519,1.45905773806762,1.39833479717768,1.39125178733912,1.46178165396421,1.41923894557824,1.46640491988123,1.42080691010701,1.53018816942003,1.46072403710723,1.38554955614533,1.40277777777778,1.41799014438602
"59","HNF1A",0.618031316175937,0.643582083825909,0.670274195512058,0.599098564116562,0.570189786106852,0.576668300954017,0.555486798351735,0.63592745450583,0.534899265265147,0.558595166661172,0.577493945251872,0.597385214209552,0.856913551937629,0.587046879788069
"60","HNF1B",0.668458857923492,0.741332253502028,0.758824411479291,0.643319362135752,0.614423836132562,0.620603510306684,0.60203947138365,0.712819034247606,0.579998233059457,0.598925309954111,0.6419353591089,0.663658314531132,0.712059369202226,0.658710653975728
"61","HOXC11",0.902364449823056,0.98720876214152,0.982376917402735,0.836273833020579,0.804077089758094,0.822405726825049,0.798508401880732,0.979901581195514,0.795416576524603,0.693298333826284,0.851729555888347,0.946370896184561,0.572562358276644,0.858517291056973
"62","HSF1",0.946371491433555,0.962822265246759,0.979763098708871,0.90577959690944,0.901658309591487,0.886885813898091,0.865575793587314,0.949422198444947,0.895485228009153,0.872587334230646,0.888815114531037,0.911800497584192,1.03061224489796,0.906032742767438
"63","IRF8",2.11101105683144,1.7560868479081,1.99777624760089,1.77396956262011,1.76553050539589,1.89559533425648,1.74613687490851,1.88928402264542,1.74296140991608,1.96622193936047,2.0061777415458,2.22044462946469,1.73819677124581,2.11056541596808
"64","IRF9",1.96355425334739,1.61338610580181,1.80339078842567,1.67457543152462,1.65183941560481,1.77177492900379,1.62490231907826,1.76322909121895,1.65171407590929,1.81508619295579,1.83084270975883,2.10089850099332,1.36486486486486,1.96523351393915
"65","ISX",0.799897505744984,0.752166430596451,0.751296165570775,0.754242783464358,0.716816677274481,0.799480994271353,0.714222805557701,0.761607512570246,0.728604632895845,0.767512858802058,0.768751847046717,0.734431623116536,0.655844155844156,0.779944563852652
"66","JDP2",1.7457010649124,2.94914731843215,2.46024272357762,2.02106135019861,1.60561823245559,2.21037707379486,1.65999597412621,2.67632199629418,2.28969617649226,1.9118190212373,2.19108003933344,1.55095615711073,1.78434358818154,1.65215191149612
"67","KLF13",1.66836380116868,1.60823144588273,1.6593679953172,1.72264948853291,1.71330700042118,1.73051262144274,1.73380853633957,1.63563016419799,1.70247606578655,1.57031476451706,1.64936020216119,1.55993377231668,1.24989144594008,1.71614625428375
"68","MEF2B",0.776849091933516,0.737806544401582,0.750707813870333,0.651134888949503,0.635874330439527,0.690998107750416,0.65339870430098,0.736344501237424,0.646427021014199,0.715188104609935,0.700573541644597,0.79950146421653,0.864384463462805,0.745295806410337
"69","MEOX1",0.883465285708508,0.814247881398834,0.812687744682117,0.828142661455271,0.784296631734867,0.837989628841226,0.792390891351808,0.825536434821469,0.808718513036504,0.866000566893424,0.83318348869856,0.810673801309582,0.772959183673469,0.823693167684278
"70","MIXL1",0.685927906119244,0.657042198154489,0.669311694862331,0.702349983538308,0.661280602238302,0.747670541172265,0.673168356872339,0.672751976240334,0.689692749483608,0.667529005229766,0.698914808214034,0.676585137871943,0.565826330532213,0.684485810033598
"71","MLX",1.86908251996451,2.0668026054971,2.1518750715467,2.10596078343534,2.11069073814818,2.14403703666671,2.08107324543013,1.93659287688648,2.11174584177609,2.02870128910333,2.08680863649808,1.76189473824893,0.864978134110787,1.93512832832305
"72","MLXIPL",1.76204712890434,2.02768683132215,2.0763438091094,1.96749386537885,1.98203568595187,1.97720047174813,1.93490007455131,1.88787355951844,1.95652814760761,1.95264828339363,1.97443779142518,1.61696406311216,0.687074829931973,1.81941797220027
"73","MSC",1.31967982140425,1.12875880657038,1.11417355327175,1.16049745725087,1.17251108190624,1.16839807972004,1.1720562958721,1.12318275829694,1.16863216561616,1.20340191825859,1.19868480590833,1.71469294139674,1.34383753501401,1.30233067066906
"74","MSX1",0.9725010574767,0.981171814384388,1.00811593395885,0.945747118820659,0.936783440412945,0.942116301738384,0.914262380586362,0.986372296753158,0.880691841037188,0.864384463462804,0.91773829082315,0.890857395589815,1.11649659863946,0.999953020991183
"75","NEUROD2",0.900113785268205,0.949544306485437,1.02193310540203,0.875847788071623,0.849459025047161,0.895088114319261,0.838027830722267,0.951457953168515,0.876812885777057,0.879519400352734,0.914595634313179,0.957558528121881,0.977760334903192,0.877638945877618
"76","NEUROG2",1.05517581647781,1.02602648512187,1.06742164587824,0.972085115395258,0.953246829924875,0.974310480018166,0.95282416528821,1.04817480320115,0.971897298158798,0.992651266113922,0.99490937490651,1.27516430300934,1.31352541016407,1.07675621589986
"77","NFIA",1.01288919201684,1.1606154113572,1.136909798498,1.04846313244804,1.05395500687688,1.10731179527105,1.07891479976707,1.1041654743782,1.0859926768854,1.07432441942294,1.06882653061225,1.08007985803017,0.827201933404941,1.00647394050788
"78","NFIX",1.07334584112048,1.16900702321696,1.13804257952175,1.09268331616413,1.09918817370817,1.13640076977493,1.11567697264941,1.14943646083247,1.16101656522989,1.11957877234308,1.12725017232121,1.10616017043238,0.890652557319224,1.05595689726441
"79","NHLH1",1.54656483099875,1.37234156820618,1.36731219400014,1.39302341493173,1.38279826723841,1.37102998190571,1.37232236602524,1.37896806400875,1.34300042529221,1.43520327114166,1.40912350152423,1.97141192341916,1.46704498125781,1.5521646156192
"80","NKX2-3",1.04116217677745,1.04033017144174,1.06708897041963,1.07490329352779,1.08878184833836,1.10789348570058,1.09233682151968,1.04375936401426,1.09893748876463,1.12686715952501,1.1076885524625,1.04264061062091,1.16503992901508,1.01944560303324
"81","NKX6-1",0.749631902430888,0.728237186434092,0.726296876890012,0.709037098367141,0.673090559792633,0.72023356506501,0.679746984961639,0.737520173096856,0.692912432687085,0.723275546777851,0.684625190635296,0.738954211126075,0.781843771991555,0.703941953830712
"82","NKX6-2",0.670772025219464,0.650426143961432,0.661770111869531,0.663849539260267,0.637110383686249,0.677060755276425,0.632824942057361,0.668930170619623,0.631512784102595,0.63912839112957,0.641914904829568,0.668425655976676,0.768592182635766,0.652074014537321
"83","PAX7",0.573476110795709,0.585941923641826,0.62887940741462,0.573440412797235,0.561945307924495,0.568416398028812,0.541434414446166,0.610137879231543,0.526386196327054,0.53238809335889,0.542904914774899,0.561334712530629,0.834305150631681,0.54376437932544
"84","SP4",1.83512334452436,1.73286705060465,1.74069933019037,1.87820926427878,1.90156341227455,1.87091278214725,1.88097816438137,1.73548562969852,1.84564916662807,1.73159816968221,1.82907182245696,1.74030744428582,1.66836734693878,1.85455019200333
