"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"AK8" "AK8" -0.0790085678635023 0.755323565402467
"AK9" "AK9" NA NA
"AKAIN1" "AKAIN1" NA NA
"AKAP1" "AKAP1" 0.834978657184446 1.62488344030386e-05
"AKAP10" "AKAP10" 0.218808180833704 0.383034062098355
"AKAP12" "AKAP12" NA NA
"AKAP13" "AKAP13" 0.839618450953062 1.31356110482922e-05
"AKAP17A" "AKAP17A" 0.428320959106693 0.0761672014633819
"AKAP3" "AKAP3" 0.49054564406326 0.0387432733329674
"AKAP5" "AKAP5" 0.885597108105698 1.02452844759133e-06
"AKAP6" "AKAP6" 0.152559080180116 0.545616880263104
"AKAP7" "AKAP7" 0.687366003591087 0.00162153289957696
"AKAP8" "AKAP8" 0.374327317619905 0.125919986841843
"AKAP8L" "AKAP8L" 0.46225917952486 0.0534282997210631
"AKAP9" "AKAP9" NA NA
"AKIRIN1" "AKIRIN1" NA NA
"AKIRIN2" "AKIRIN2" NA NA
"AKNA" "AKNA" 0.816133198964185 3.62342833217857e-05
"AKR1A1" "AKR1A1" NA NA
"AKR1B1" "AKR1B1" 0.120057681833732 0.635131578817767
"AKR1E2" "AKR1E2" 0.477753338933094 0.0449422891112838
"AKR7A2" "AKR7A2" NA NA
"AKR7A3" "AKR7A3" NA NA
"AKT1" "AKT1" 0.332141734428636 0.17810998662052
"AKT1S1" "AKT1S1" 0.397344483682782 0.102509132326644
"AKT2" "AKT2" 0.685322432472862 0.0016959074598858
"AKT3" "AKT3" NA NA
"AKTIP" "AKTIP" 0.730160779655952 0.000580760592887663
"ALAD" "ALAD" 0.0005255867827902 0.998348560172243
"ALAS1" "ALAS1" 0.441167331314454 0.0668512243957974
"ALCAM" "ALCAM" NA NA
"ALDH16A1" "ALDH16A1" 0.216819994518905 0.387479475352969
"ALDH18A1" "ALDH18A1" NA NA
"ALDH1A1" "ALDH1A1" 0.837906053715311 1.4219133895407e-05
"ALDH1A2" "ALDH1A2" 0.90801813827838 1.92430362685964e-07
"ALDH1A3" "ALDH1A3" NA NA
"ALDH1B1" "ALDH1B1" 0.274522598528998 0.270271659336536
"ALDH1L2" "ALDH1L2" 0.502122295620247 0.0337183254541162
