"gene" "PcorAgg" "PcorAgg_pvalue" "PcorAvg" "PcorAvg_pvalue" "PcorAvg_m" "PcorAvg_m_pvalue" "PcorAvg_m_log" "PcorAvg_m_log_pvalue" "PcorMed_m" "PcorMed_m_pvalue" "PcorMed_m_log" "PcorMed_m_log_pvalue"
"461" "ANKRD13B" 0.736868244064062 0.000319749790079714 0.146233346131458 0.550261298804655 0.353060762441968 0.1506774258252 -0.0884671984956037 0.718736743233149 NA NA NA NA
"470" "ANKRD24" 0.411193680268351 0.0802915624330424 -0.234611218655707 0.333641271533168 0.170068922607947 0.499877524456938 -0.208770756488782 0.391035730108972 NA NA NA NA
"471" "ANKRD26" 0.699311679077429 0.000861987873682947 -0.47097226142943 0.0418179431471527 0.450024246656309 0.0609401860920565 0.203138762787829 0.404226247304373 NA NA NA NA
"473" "ANKRD28" 0.908217608087946 7.69477982239099e-08 0.6781734365601 0.00141590442970345 0.0439267479563124 0.862597474178165 0.794840634937842 4.78118958129112e-05 0.529040057012887 0.0198549503232917 0.500850064634598 0.0289408264299396
"477" "ANKRD34A" 0.856255246654095 2.9019599942535e-06 0.112589569961978 0.646296737776611 0.490428642220082 0.0387968277117033 0.30274804279474 0.207712618443046 NA NA NA NA
"480" "ANKRD36" 0.906385193655648 9.04469267130149e-08 0.20915908948078 0.390135078984593 0.144507599473671 0.567257061135637 0.65083872820478 0.00254603689366809 NA NA NA NA
"485" "ANKRD40" 0.921114051002969 2.22186245241513e-08 -0.08772301898971 0.721012270796491 0.336741718592884 0.171809444483013 0.703739793087103 0.000772819177256785 NA NA NA NA
"487" "ANKRD44" 0.913336278713043 4.80953213634982e-08 0.288617860999995 0.230777217892005 0.396693566461498 0.103124714494162 0.358421215332013 0.131850739931274 0.439041390369907 0.0600253112601197 0.619261609245544 0.00469339058350874
"492" "ANKRD52" 0.924325279431123 1.5781043631626e-08 0.649295810425688 0.00262737244867584 0.372210007438802 0.128247342581578 0.543031544032854 0.0162772410835382 NA NA NA NA
"493" "ANKRD53" 0.194808694505106 0.424171712473962 0.228941465458812 0.345788851471652 0.60169445264508 0.00824793176882229 0.522619747512282 0.0216923387019106 NA NA NA NA
"496" "ANKRD6" 0.866688110779147 1.58732685679282e-06 0.123687995897688 0.613919865795736 0.149729012625543 0.553181021030113 0.204833130541253 0.400232735465216 NA NA NA NA
"508" "ANO9" 0.812972916770268 2.3263724222979e-05 0.373180639637885 0.11555713141446 0.219576787380754 0.381323115521072 0.456831730799468 0.0492669089724972 NA NA NA NA
"514" "ANTXR1" 0.640775973854957 0.0031162387942058 0.0275817737173151 0.910756178393604 0.0835183002095824 0.741795919708831 0.016718075980556 0.945841777278153 NA NA NA NA
"515" "ANTXR2" 0.949660549582172 5.38494255181831e-10 0.693941703454065 0.000981566194222366 0.847529359866454 8.99748217520202e-06 0.882212311506489 5.85443367781189e-07 0.722441322165718 0.000476679746822472 0.424853648986322 0.0698020625825472
"519" "ANXA2R" 0.861598157929241 2.14353490834843e-06 0.630602136304578 0.0037961182199707 0.334354277317634 0.175060421894225 0.555105297692881 0.013621141933698 NA NA NA NA
"521" "ANXA4" 0.715765707319586 0.000568822003682587 -0.308668593422812 0.198517482095421 0.471732872478399 0.0481081747667334 0.282059875736676 0.242021646811382 NA NA NA NA
"526" "AOAH" 0.648743560084934 0.00265700255454893 0.589354714763854 0.00792084313936119 0.442206222454342 0.0661366769150739 0.605787894302728 0.00597847886990741 NA NA NA NA
"529" "AOX1" 0.716602686816393 0.000556505007127872 0.496888582251485 0.0304423034531106 0.178486712419879 0.47856480916626 0.237164142453621 0.328254352395861 NA NA NA NA
"530" "AP1AR" 0.912479761916333 5.21330376584737e-08 0.0818006612466544 0.739200120018591 0.276299608069739 0.267057248204428 0.232248405347409 0.338672896489621 NA NA NA NA
"532" "AP1G1" 0.806520172977127 3.0317676292866e-05 0.310723937702015 0.195389619573539 0.347744460502858 0.157354505535265 0.428005009001181 0.0675344716036119 NA NA NA NA
"533" "AP1G2" 0.779613571288052 8.30854007786784e-05 -0.113769638938494 0.642823812561655 0.772647555980094 0.000170837136223851 0.403653380478557 0.0865572475506485 NA NA NA NA
"545" "AP3D1" 0.971500549645488 4.6070390920092e-12 0.0175811242874883 0.943050144457598 0.0981761913057044 0.698340267176593 0.301992913512174 0.208905228105182 0.0555555555555555 0.821283269241721 0.00223701847029297 0.992748202916822
"547" "AP3M2" 0.69864725540042 0.000876084369281511 0.480523614220675 0.0372985659192515 0.937938976808946 9.09811147165589e-09 0.56355645888238 0.0119778361625867 NA NA NA NA
"548" "AP3S2" 0.695489964730892 0.000945744303738025 0.135118639467335 0.581274645134399 0.941187681934816 5.97925518646697e-09 0.295288669256214 0.219691132580363 NA NA NA NA
"549" "AP4B1" 0.858492932967294 2.55998510403132e-06 0.0511350833599381 0.835310202178223 0.391068440697853 0.108555309536596 0.318314642313318 0.184123158444834 NA NA NA NA
"552" "AP5B1" 0.541838352752703 0.0165606684422524 0.244989077276418 0.312064879466937 0.861398342594113 4.39237424071523e-06 0.413653375667653 0.0783219254789732 NA NA NA NA
"559" "APBB1IP" 0.670548497132942 0.00167753850959016 -0.403168364411597 0.0869721911139439 0.58960392822005 0.0100174502396231 0.127552361586803 0.602801359714745 0.41771975763467 0.0751443465261129 0.237803825659999 0.326912636371468
"571" "APLP1" 0.567047077635406 0.0113474548076615 0.190025958056605 0.435855112901613 0.510739102278815 0.0303163949619334 0.030853344121024 0.900218300861191 NA NA NA NA
"572" "APLP2" 0.555883994758109 0.0134625640697318 0.371267742745308 0.117583398467167 0.87279621602511 2.29527726183118e-06 0.472459504951983 0.0410878938750142 0.278351107134452 0.248533030563026 0.298101105075059 0.21512312806026
"575" "APOBEC3A" 0.984475432306996 2.75459877358936e-14 0.879671681811275 6.95615664682333e-07 0.826550753040209 2.35315757301267e-05 0.88073536291636 6.47474190783987e-07 NA NA NA NA
"576" "APOBEC3B" 0.616592962525033 0.00492801988380651 0.141849446224724 0.562404887079667 0.84331553041318 1.10347557337317e-05 0.251184143914666 0.299593344127844 NA NA NA NA
"580" "APOBEC3G" 0.691220431879025 0.00104728603266919 0.544599025283192 0.0159107962682303 0.564594127779054 0.0146433539162233 0.565593832280271 0.0116065721451598 NA NA NA NA
"582" "APOBEC4" 0.656253749518557 0.00227690534563326 -0.187977601298356 0.440909919425938 -0.300276675441681 0.226013307809457 -0.171680172837465 0.482194194452113 NA NA NA NA
"585" "APOE" 0.220224186080267 0.364957107390716 -0.121622031059885 0.619897493747889 0.280767408813578 0.259080784290068 -0.00755967984350468 0.975496796663102 NA NA NA NA
