"gene" "num_prom" "active_prom_num" "active_prom_perc" "num_ex" "active_ex_num" "active_ex_perc" "num_enh" "active_enh_num" "active_enh_perc" "expr_num" "expr_perc"
"ACTB" "ACTB" 1 5812 0.543634833037134 1 7636 0.714245627163034 3 6124 0.572818258348143 9659 0.903470208586662
"ACTG1" "ACTG1" 1 6259 0.58544570199233 1 907 0.0848377139650173 3 7176 0.671218782153213 7360 0.688429520157142
"ACTL10" "ACTL10" 1 3323 0.310822186886166 0 0 0 1 618 0.0578056309044991 48 0.00448975774015527
"ACTL6A" "ACTL6A" 1 5591 0.522963240108502 0 0 0 1 981 0.0917594238144233 504 0.0471424562716303
"ACTL6B" "ACTL6B" 1 707 0.0661303900477037 0 0 0 0 0 0 9 0.000841829576279113
"ACTN1" "ACTN1" 1 2336 0.218501543354223 2 1356 0.126835656159386 29 5911 0.552894958376204 2057 0.192404826489571
"ACTN2" "ACTN2" 1 1085 0.101487232251426 0 0 0 0 0 0 34 0.00318024506594332
"ACTN4" "ACTN4" 2 7040 0.65849780188944 0 0 0 22 7127 0.666635487793471 2568 0.240202039098307
"ACTR10" "ACTR10" 1 5040 0.471424562716303 0 0 0 2 3798 0.355252081189786 1422 0.1330090730521
"ACTR1A" "ACTR1A" 1 6130 0.573379478065663 0 0 0 4 5617 0.525395192217753 1052 0.0984005238050697
"ACTR2" "ACTR2" 1 5274 0.49331213169956 0 0 0 0 0 0 4479 0.418950519128239
"ACTR3" "ACTR3" 1 6380 0.596763632962305 0 0 0 2 5685 0.53175568234964 3687 0.344869516415677
"ACTR3B" "ACTR3B" 1 4781 0.447198578243382 0 0 0 0 0 0 415 0.0388176971284258
"ACTR3C" "ACTR3C" 1 1804 0.168740061734169 3 665 0.0622018520250678 5 3826 0.35787110653821 278 0.0260031802450659
"ACTR5" "ACTR5" 1 6493 0.607333270975587 1 95 0.00888597886072397 16 6195 0.57945935833879 367 0.0343279393882705
"ACTR6" "ACTR6" 1 4258 0.398278926199607 0 0 0 2 1169 0.109344308296698 914 0.0854924703021233
"ACTR8" "ACTR8" 1 4424 0.413806005050977 0 0 0 0 0 0 274 0.0256290337667197
"ACTRT3" "ACTRT3" 1 1412 0.132073706856234 0 0 0 0 0 0 8 0.000748292956692545
"ACVR1" "ACVR1" 2 4778 0.446917968384623 0 0 0 6 1656 0.154896642035357 928 0.0868019829763352
"ACVR1B" "ACVR1B" 1 6036 0.564587035824525 0 0 0 6 7670 0.717425872228978 503 0.0470489196520438
"ACVR1C" "ACVR1C" 2 2881 0.269479001028903 0 0 0 11 5996 0.560845571041063 210 0.0196426901131793
"ACVR2A" "ACVR2A" 1 3737 0.349546347395005 0 0 0 1 1025 0.0958750350762324 1001 0.0936301562061547
"ACVR2B" "ACVR2B" 1 1510 0.141240295575718 1 307 0.0287157422130764 1 310 0.0289963520718361 132 0.012346833785427
"ACVRL1" "ACVRL1" 2 695 0.0650079506126649 0 0 0 53 5692 0.532410438686746 29 0.00271256196801048
"ACY1" "ACY1" 1 3430 0.320830605181929 0 0 0 0 0 0 148 0.0138434196988121
"ACY3" "ACY3" 1 895 0.0837152745299785 1 686 0.0641661210363857 6 9243 0.864558974838649 18 0.00168365915255823
"ACYP1" "ACYP1" 2 4212 0.393976241698625 0 0 0 40 8944 0.836591525582265 429 0.0401272098026377
"ACYP2" "ACYP2" 1 4198 0.392666729024413 0 0 0 1 1888 0.176597137779441 2012 0.188195678608175
"ADA" "ADA" 1 2142 0.200355439154429 0 0 0 2 1586 0.148349078664297 492 0.0460200168365915
"ADA2" "ADA2" 1 1468 0.137311757553082 0 0 0 0 0 0 2991 0.279768029183425
"ADAD1" "ADAD1" 1 36 0.00336731830511645 0 0 0 0 0 0 5 0.000467683097932841
"ADAL" "ADAL" 1 4910 0.45926480217005 0 0 0 1 378 0.0353568422037228 157 0.0146852492750912
"ADAM10" "ADAM10" 1 6426 0.601066317463287 1 83 0.00776353942568516 0 0 0 3364 0.314657188289215
"ADAM11" "ADAM11" 1 714 0.0667851463848096 1 348 0.0325507436161257 0 0 0 14 0.00130951267421195
"ADAM12" "ADAM12" 1 213 0.019923299971939 1 209 0.0195491534935927 2 334 0.0312412309419138 309 0.0289028154522496
"ADAM15" "ADAM15" 1 4227 0.395379290992424 1 1241 0.116078944906931 14 9348 0.874380319895239 664 0.0621083154054812
"ADAM17" "ADAM17" 1 5255 0.491534935927416 0 0 0 3 2205 0.206248246188383 2707 0.25320362922084
"ADAM19" "ADAM19" 1 1506 0.140866149097372 0 0 0 8 3922 0.36685062201852 1939 0.181367505378356
"ADAM22" "ADAM22" 1 2204 0.206154709568796 1 78 0.00729585632775231 0 0 0 303 0.0283415957347301
"ADAM23" "ADAM23" 1 499 0.0466747731736975 0 0 0 2 601 0.0562155083715275 280 0.0261902534842391
"ADAM28" "ADAM28" 1 846 0.0791319801702366 3 267 0.0249742774296137 13 2472 0.231222523617996 768 0.0718361238424843
"ADAM32" "ADAM32" 1 64 0.00598634365354036 0 0 0 0 0 0 28 0.00261902534842391
"ADAM8" "ADAM8" 1 2636 0.246562529230194 0 0 0 1 2885 0.269853147507249 1572 0.147039565990085
"ADAM9" "ADAM9" 1 6841 0.639884014591713 0 0 0 1 3972 0.371527452997849 948 0.0886727153680666
"ADAMDEC1" "ADAMDEC1" 2 915 0.0855860069217099 2 218 0.0203909830698719 23 2472 0.231222523617996 19 0.00177719577214479
"ADAMTS1" "ADAMTS1" 1 256 0.0239453746141614 0 0 0 1 59 0.00551866055560752 16 0.00149658591338509
"ADAMTS10" "ADAMTS10" 2 4932 0.461322607800954 2 2447 0.228884108128332 9 5115 0.478439809185296 330 0.0308670844635675
"ADAMTS13" "ADAMTS13" 1 214 0.0200168365915256 1 309 0.0289028154522496 0 0 0 40 0.00374146478346273
