"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"ACVR2A" "ACVR2A" 0.895710775374085 5.04948983992121e-07
"ACVR2B" "ACVR2B" 0.758613111468531 0.000262871012007338
"ACVRL1" "ACVRL1" 0.770875011352253 0.000180686547252834
"ACY1" "ACY1" 0.121581031500266 0.630813268048937
"ACY3" "ACY3" 0.621921461144842 0.00585631272267504
"ACYP1" "ACYP1" 0.634943638397407 0.00464001727502324
"ACYP2" "ACYP2" 0.775071068367059 0.000158107624435522
"ADA" "ADA" 0.117081331139246 0.643601086018019
"ADA2" "ADA2" 0.703754264073779 0.00111710019475134
"ADAD1" "ADAD1" 0.108442354691422 0.668418798638628
"ADAL" "ADAL" 0.708555496201534 0.000996968607685783
"ADAM10" "ADAM10" 0.830533427050751 1.98028999062502e-05
"ADAM11" "ADAM11" 0.1337764409904 0.596661180618578
"ADAM12" "ADAM12" 0.97507192739879 6.93415099276419e-12
"ADAM15" "ADAM15" 0.525481212821108 0.0251189284593454
"ADAM17" "ADAM17" 0.916624191544462 9.0164810285223e-08
"ADAM19" "ADAM19" 0.838687784943207 1.37153688997325e-05
"ADAM22" "ADAM22" 0.90384411037902 2.70768313461633e-07
"ADAM23" "ADAM23" 0.835053825513853 1.61937762847459e-05
"ADAM28" "ADAM28" 0.754898018213934 0.000293251270957929
"ADAM32" "ADAM32" 0.195663224135611 0.4365105167421
"ADAM8" "ADAM8" 0.438731116261248 0.0685493108496933
"ADAM9" "ADAM9" 0.728757764800302 0.000602402488562015
"ADAMDEC1" "ADAMDEC1" 0.334573250293492 0.174760534252876
"ADAMTS1" "ADAMTS1" 0.86801143658906 3.03598394507701e-06
"ADAMTS10" "ADAMTS10" 0.752776149752069 0.000311891844892493
"ADAMTS13" "ADAMTS13" 0.243696067234464 0.329814698716275
"ADAMTS14" "ADAMTS14" 0.403608929631271 0.096718976863086
"ADAMTS17" "ADAMTS17" 0.834236737132323 1.68009085963341e-05
"ADAMTS2" "ADAMTS2" 0.167797343032635 0.505705599583855
"ADAMTS4" "ADAMTS4" 0.808004543594227 4.9834419165783e-05
"ADAMTS5" "ADAMTS5" 0.555361891585395 0.0167269640876379
"ADAMTS6" "ADAMTS6" 0.771784771296776 0.000175573074286784
"ADAMTS7" "ADAMTS7" -0.0109098054319711 0.96572992932276
"ADAMTS8" "ADAMTS8" 0.185353234198602 0.461518311975881
"ADAMTSL2" "ADAMTSL2" 0.390835842918876 0.108784169295518
"ADAMTSL4" "ADAMTSL4" 0.877619381462116 1.71160117433071e-06
"ADAMTSL5" "ADAMTSL5" 0.547839511073691 0.018592379910438
"ADAP1" "ADAP1" 0.873545593213343 2.19469633866126e-06
"ADAP2" "ADAP2" 0.860506493061481 4.61005856220983e-06
"ADAR" "ADAR" 0.828899856575607 2.12661014305126e-05
"ADARB1" "ADARB1" 0.898977220333346 3.9563364104727e-07
"ADARB2" "ADARB2" 0.258060867936654 0.301180887301947
